aircraft id,date,avg_sensor,flighthours,flightcycles,delayedminutes,label
XY-YBT,2015-10-25,60.05812622009615,2.75,1,15,1
XY-FFT,2014-07-20,62.854037379349016,2.86666666666667,1,8,1
XY-SFN,2012-11-13,61.93445785539934,2.38333333333333,1,37,1
XY-SHM,2014-11-05,61.84151884560185,2.48333333333333,1,31,1
XY-YCV,2012-06-14,25.654589746988957,6.28333333333333,3,43,0
XY-SHM,2014-10-31,65.01086344532509,0.45,1,33,1
XY-PGD,2015-10-24,26.413281776706512,1.88333333333333,1,7,0
XY-YBT,2015-10-21,65.53190342743763,3.45,1,33,1
XY-RRQ,2010-11-17,21.747026680074466,2.45,1,33,0
XY-IOW,2011-06-18,61.71792624895679,4.75,2,15,1
XY-KWW,2013-07-31,28.76805636250893,1.61666666666667,1,23,0
XY-YBT,2010-09-23,27.65622428691903,2.61666666666667,1,23,0
XY-NIO,2014-12-12,28.978880532938035,1.35,1,39,0
XY-LOL,2012-09-11,25.323695474190703,0.5,1,30,0
XY-GOJ,2012-09-11,60.17104162836605,7.03333333333333,3,58,1
XY-RRQ,2013-03-17,24.481174602671945,3.55,1,27,0
XY-SFN,2015-06-02,66.24603361519192,1.6,1,24,1
XY-OQQ,2013-07-04,59.93933977171145,2.73333333333333,2,76,1
XY-SFN,2015-05-26,61.89433175266477,3.41666666666667,1,35,1
XY-LOL,2016-07-29,27.349741227024012,2.46666666666667,2,32,0
XY-AZQ,2015-10-11,59.987848895937624,4.23333333333333,2,46,1
XY-SFN,2010-09-20,61.89927523704468,2.55,1,27,1
XY-IOW,2013-03-19,23.68627951964626,3.95,1,3,0
XY-YCV,2014-12-12,28.439523677799045,1.68333333333333,1,19,0
XY-RRQ,2014-02-19,27.75547141004388,1.7,1,18,0
XY-LOL,2012-03-04,61.44854345998067,0.633333333333333,1,22,1
XY-YBT,2014-07-24,28.454571912927268,0.95,1,3,0
XY-YCV,2012-10-15,25.715721828539106,3.85,1,9,0
XY-WYW,2010-09-24,25.401492847623828,3.95,1,3,0
XY-LOL,2012-03-05,63.74994737778717,2.93333333333333,1,4,1
XY-SFN,2014-11-27,64.28352107754284,4.73333333333333,2,16,1
XY-BDC,2014-07-24,28.306501584507643,0.583333333333333,1,25,0
XY-GOJ,2014-02-18,24.403076101956252,1.41666666666667,1,35,0
XY-WYW,2015-07-17,25.217485378609524,0.35,1,39,0
XY-SHM,2010-02-27,26.6473909483814,0.5,1,30,0
XY-AZQ,2016-06-10,61.68516212851264,0.9,1,6,1
XY-SFN,2015-05-25,62.32288088990759,2.48333333333333,1,31,0
XY-IOW,2015-11-28,61.8538358104594,12.9166666666667,4,125,1
XY-LOL,2014-12-13,61.79130313773131,1.93333333333333,1,4,1
XY-OZX,2016-09-07,65.8869158206692,0.783333333333333,1,13,1
XY-OQQ,2014-02-18,30.23588817881644,0.933333333333333,1,4,0
XY-BDC,2015-10-11,23.277394787655858,1.36666666666667,1,38,0
XY-NIO,2014-02-18,25.44212087858069,1.61666666666667,1,23,0
XY-IOW,2016-09-10,24.98003955185053,6.25,3,45,0
XY-IOW,2016-06-12,24.046396779998457,0.916666666666667,1,5,0
XY-FFT,2012-05-05,26.537468692577228,7.03333333333333,4,58,0
XY-YJU,2015-11-28,25.066078167416453,6.25,2,45,0
XY-AZQ,2010-11-17,25.6473909483814,5.85,3,69,0
XY-YCV,2011-06-17,61.942304971115455,0.85,1,9,1
XY-BDC,2010-02-26,64.1163092359453,4.86666666666667,2,8,1
XY-YCV,2015-06-01,26.411537586060966,3.73333333333333,1,16,0
XY-SHM,2014-10-29,65.23901605785049,2.7,1,18,1
XY-OZX,2014-07-24,26.941499393105833,3.35,2,39,0
XY-AZQ,2015-10-05,61.678907879492215,1.83333333333333,1,10,1
XY-OZX,2013-03-20,61.07446258715314,3.73333333333333,1,16,1
XY-AZQ,2015-10-12,60.859109003553016,3.41666666666667,1,35,1
XY-WYW,2013-07-31,23.381670488344984,0.85,1,9,0
XY-POE,2012-06-15,61.487778982081785,2.9,2,66,1
XY-SHM,2015-06-01,25.181611831859495,5.21666666666667,2,47,1
XY-RRQ,2015-11-28,26.171004470332146,1.33333333333333,2,40,0
XY-YJU,2012-06-14,26.172274772053107,8.28333333333333,3,43,0
XY-IOW,2010-11-10,63.45915117555863,2.45,1,33,0
XY-OZX,2016-09-10,61.1569820651383,3.93333333333333,1,4,1
XY-SFN,2012-11-05,66.28932879980198,4.6,2,24,0
XY-SFN,2013-03-19,25.73709248363598,2.4,1,36,0
XY-WYW,2016-09-10,26.289046331596303,2.51666666666667,1,29,0
XY-POE,2015-10-11,27.89977746035145,7.53333333333333,3,88,0
XY-BDC,2014-11-04,29.985507696386744,4.56666666666667,2,26,0
XY-KWW,2012-05-05,20.513013410996432,4.01666666666667,2,59,0
XY-YCV,2016-06-12,27.695808964349208,0.383333333333333,1,37,0
