aircraft id,date,avg_sensor,flighthours,flightcycles,delayedminutes,label
XY-YCV,2016-06-12 00:00:00,27.695808964349208,0.383333333333333,1,37,1
XY-BDC,2015-11-28 00:00:00,24.69133361901148,3.65,1,21,1
XY-BDC,2010-09-12 00:00:00,26.527627910939202,2.75,1,15,1
XY-WYW,2015-10-11 00:00:00,28.326196965423403,2.55,1,27,1
XY-KWW,2015-10-11 00:00:00,26.09965885224541,5.08333333333333,3,55,1
XY-OQQ,2015-07-17 00:00:00,24.527627910939202,2.81666666666667,1,11,1
XY-AZQ,2016-09-10 00:00:00,26.158751068737516,3.95,1,3,1
XY-FFT,2015-10-24 00:00:00,23.382293429341164,3.4,1,36,1
XY-IOW,2012-10-12 00:00:00,61.024066834433704,2.83333333333333,1,10,1
XY-GOJ,2012-09-13 00:00:00,61.88091177127996,0.583333333333333,1,25,0
XY-OZX,2014-11-04 00:00:00,27.544545053548124,5.43333333333333,2,34,1
XY-GOJ,2015-11-28 00:00:00,24.404403532575447,1.93333333333333,1,4,1
XY-AZQ,2015-10-08 00:00:00,63.84048476170168,1.98333333333333,1,1,1
XY-SHM,2010-09-12 00:00:00,25.432443277926634,3.75,1,15,1
XY-IOW,2010-02-27 00:00:00,25.98883689639154,0.533333333333333,1,28,1
XY-WYW,2012-05-05 00:00:00,26.63472783451754,1.55,1,27,1
XY-FFT,2015-07-17 00:00:00,26.60736018432592,2.81666666666667,1,11,1
XY-SFN,2010-09-24 00:00:00,61.938694376220994,2.51666666666667,1,29,1
XY-GOJ,2013-10-08 00:00:00,26.58476662497569,3.81666666666667,1,11,1
XY-YBT,2013-03-19 00:00:00,28.933569497394455,9.85,3,69,1
XY-SHM,2013-07-04 00:00:00,26.510048032935117,6.56666666666667,2,26,1
XY-SFN,2014-12-03 00:00:00,67.36301300329617,0.4,1,36,1
XY-OZX,2013-07-04 00:00:00,23.311982399374962,4.58333333333333,2,25,1
XY-BDC,2012-11-12 00:00:00,24.049956658086057,5.11666666666667,3,53,1
XY-LOL,2015-07-12 00:00:00,62.83068907679461,1.61666666666667,1,23,1
XY-SHM,2012-11-12 00:00:00,21.519281838409146,2.31666666666667,2,41,1
XY-PGD,2012-03-08 00:00:00,25.66873807137648,1.78333333333333,1,13,1
XY-OQQ,2013-07-01 00:00:00,62.35877759452561,10.2833333333333,3,43,1
XY-YCV,2012-03-08 00:00:00,27.92882889851037,1.66666666666667,2,20,1
XY-FFT,2014-07-25 00:00:00,63.90737259759438,5.68333333333333,3,79,1
XY-OZX,2015-11-28 00:00:00,27.498553013961754,3.8,1,12,1
XY-LOL,2010-09-08 00:00:00,65.2754907053352,2.43333333333333,1,34,1
XY-LOL,2014-11-04 00:00:00,25.544545053548127,2.71666666666667,1,17,1
XY-YBT,2014-11-04 00:00:00,27.222861504813075,2.91666666666667,2,65,1
XY-YCV,2011-06-18 00:00:00,62.82252996477578,2.38333333333333,2,37,1
