aircraft id,date,avg_sensor,flighthours,flightcycles,delayedminutes,label
XY-RRQ,2014-02-18 00:00:00,26.949509427462395,2.8,1,12,1
XY-YBT,2013-07-31 00:00:00,22.658094245475787,1.43333333333333,1,34,1
XY-NIO,2011-06-20 00:00:00,25.68172022123765,1.43333333333333,1,34,1
XY-SHM,2014-11-04 00:00:00,65.28682554752741,2.71666666666667,1,17,1
XY-YJU,2014-12-03 00:00:00,28.587279086072478,2.88333333333333,1,7,1
XY-POE,2013-09-20 00:00:00,23.509724572454886,3.4,1,36,1
XY-WYW,2013-03-19 00:00:00,25.48325534458731,3.73333333333333,1,16,1
XY-YBT,2015-07-17 00:00:00,26.37556302017949,3.4,1,36,1
XY-OZX,2013-03-17 00:00:00,24.11959977175793,4.38333333333333,2,37,1
XY-RRQ,2010-09-23 00:00:00,26.19599553623606,1.08333333333333,2,55,1
XY-YJU,2015-10-11 00:00:00,27.71976988680208,9.26666666666667,3,44,1
XY-YCV,2013-10-08 00:00:00,26.767373575380052,2.48333333333333,1,31,1
XY-KWW,2013-09-17 00:00:00,62.136880069772964,1.83333333333333,1,10,1
XY-FFT,2015-06-01 00:00:00,28.489295448135103,5.13333333333333,2,52,1
XY-GOJ,2016-07-29 00:00:00,22.71491571733139,1.53333333333333,1,28,1
XY-LOL,2014-12-03 00:00:00,29.266518306900974,1.48333333333333,1,31,1
XY-OQQ,2013-07-05 00:00:00,63.655056031289014,2.95,1,3,1
XY-LOL,2010-09-11 00:00:00,62.9332376574033,2.75,1,15,1
XY-BDC,2010-02-28 00:00:00,64.64956621885463,0.383333333333333,1,37,1
XY-OZX,2013-03-19 00:00:00,61.957712800837285,3.36666666666667,1,38,1
XY-SFN,2010-09-17 00:00:00,62.96469586380402,4.93333333333333,3,64,1
XY-POE,2010-02-27 00:00:00,30.192370511249692,1.4,1,36,1
XY-FFT,2014-12-03 00:00:00,28.447132126567126,3.58333333333333,1,25,1
XY-YCV,2015-10-24 00:00:00,24.453971421462207,2.88333333333333,1,7,1
XY-POE,2012-10-15 00:00:00,24.737092483635976,4.25,2,45,1
XY-WYW,2010-09-23 00:00:00,25.58681958629386,2.43333333333333,1,34,1
XY-POE,2013-07-04 00:00:00,27.82533781210771,3.38333333333333,1,37,1
XY-LOL,2015-07-17 00:00:00,63.953105583813446,3.86666666666667,2,68,1
XY-WYW,2014-07-24 00:00:00,27.554789575311723,1.35,1,39,1
XY-OZX,2013-10-08 00:00:00,22.24158771343618,7.73333333333333,2,16,1
XY-SFN,2015-07-17 00:00:00,25.84496480427478,4.93333333333333,2,64,1
XY-YCV,2011-06-16 00:00:00,64.3575592372189,1.53333333333333,1,28,1
XY-OZX,2013-03-14 00:00:00,62.58176988532801,3.01666666666667,2,59,1
XY-RRQ,2013-10-05 00:00:00,63.44717881609743,2.71666666666667,1,17,1
XY-YJU,2010-02-27 00:00:00,28.629908910511467,1.7,1,18,1
